id,title,category,url,type,access,license,priority,file
restraint-source-31,Danbooru Wiki 2026 Dataset,视觉提示词与标签数据库,https://huggingface.co/datasets/kierarkia/danbooru-wiki-2026,视觉标签 Wiki 数据集,可访问；约 203k 行,页面标注 WTFPL，仍需核验上游权利,高,06-visual-tags/31-danbooru-wiki-2026.md
restraint-source-32,Danbooru Japanese Tag Pair Dataset,视觉提示词与标签数据库,https://huggingface.co/datasets/p1atdev/danbooru-ja-tag-pair-20240715,日英标签对,可访问,以数据卡为准,高,06-visual-tags/32-danbooru-ja-tag-pair.md
restraint-source-33,Danbooru Tag Wiki Vector DB,视觉提示词与标签数据库,https://huggingface.co/datasets/JackBinary/danbooru-db,视觉标签向量库,可访问,以数据卡为准,中,06-visual-tags/33-danbooru-db.md
restraint-source-34,DanbooruSearchOnlineDB 中文数据库,视觉提示词与标签数据库,https://huggingface.co/datasets/SAkizuki/DanbooruSearchOnlineDB,中文视觉标签数据库,可访问,以数据卡为准,高,06-visual-tags/34-danbooru-search-online-db.md
restraint-source-35,e621 2025 Metadata,视觉提示词与标签数据库,https://huggingface.co/datasets/boxingscorpionbagel/e621-2025/tree/main/metadata,标签与 Wiki 元数据,可访问目录,需核验数据卡与上游许可,低,06-visual-tags/35-e621-2025-metadata.md
restraint-source-36,DeepGHS Site Tags,视觉提示词与标签数据库,https://huggingface.co/datasets/deepghs/site_tags/tree/main/e621.net,机器可读标签关系,可访问,先前页面显示 CC-BY-4.0 相关信息，需复核具体文件,中,06-visual-tags/36-deepghs-site-tags.md
restraint-source-37,Danbooru/e621 Tag List Processor,视觉提示词与标签数据库,https://github.com/DraconicDragon/danbooru-e621-tag-list-processor,标签处理脚本仓库,可访问,需读取 LICENSE,中,06-visual-tags/37-danbooru-e621-tag-processor.md
restraint-source-38,e621 BDSM/Bondage Tag Group,视觉提示词与标签数据库,https://e621.net/wiki_pages/1671,专题标签索引,本次抓取失败,需核验；metadata-only,低,06-visual-tags/38-e621-bdsm-tag-group.md
restraint-source-39,SillyTavern Prompt Documentation,Prompt、Lorebook 与记忆架构,https://github.com/SillyTavern/SillyTavern-Docs/blob/main/Usage/Prompts/index.md,提示上下文架构文档,可访问,读取仓库 LICENSE 后决定保存方式,高,07-prompt-architecture/39-sillytavern-prompts-docs.md
restraint-source-40,SillyTavern Prompt Manager,Prompt、Lorebook 与记忆架构,https://github.com/SillyTavern/SillyTavern-Docs/blob/main/Usage/Prompts/prompt-manager.md,模块化提示管理文档,可访问,读取仓库 LICENSE,高,07-prompt-architecture/40-sillytavern-prompt-manager.md
restraint-source-41,SillyTavern MemoryBooks,Prompt、Lorebook 与记忆架构,https://github.com/aikohanasaki/SillyTavern-MemoryBooks,结构化记忆扩展,可访问；AGPL-3.0,AGPL-3.0，复用代码需遵守许可,高,07-prompt-architecture/41-sillytavern-memorybooks.md
restraint-source-42,SillyTavern Preset Creator,Prompt、Lorebook 与记忆架构,https://github.com/cha1latte/sillytavern-preset-creator,模块化提示生成仓库,可访问,需读取 LICENSE,中,07-prompt-architecture/42-sillytavern-preset-creator.md
restraint-source-43,SX-3 Character Environment,Prompt、Lorebook 与记忆架构,https://huggingface.co/sphiratrioth666/SX-3_Characters_Environment_SillyTavern,模块化角色场景环境,可访问简介,需核验模型卡与文件许可,低,07-prompt-architecture/43-sx3-character-environment.md
restraint-source-44,GM-4 Game Mistress Environment,Prompt、Lorebook 与记忆架构,https://huggingface.co/sphiratrioth666/GM-4_Game_Mistress_Environment_SillyTavern,大型 Lorebook 环境,可访问简介,需核验模型卡与文件许可,低,07-prompt-architecture/44-gm4-game-mistress-environment.md
